"","X_WGS84","Y_WGS84","noname"
"1",-73.191892,-37.621382,1
"2",-74.291892,-43.146382,1
"3",-74.075226,-42.554715,1
"4",-73.000226,-37.821382,1
"5",-72.966892,-37.829715,1
"6",-73.733559,-43.054715,1
"7",-72.950225,-37.738048,1
"8",-73.950226,-43.121382,1
"9",-73.150226,-37.663048,1
"10",-74.058559,-42.146382,1
"11",-73.583559,-40.029715,1
"12",-73.150226,-37.688048,1
"13",-74.033559,-42.079715,1
"14",-73.958559,-42.746382,1
"15",-73.991892,-43.129715,1
"16",-73.941892,-43.121382,1
"17",-73.983559,-43.121382,1
"18",-73.116892,-37.846382,1
"19",-74.016892,-43.138048,1
"20",-72.908559,-37.696382,1
"21",-74.041892,-42.096382,1
"22",-73.183559,-37.621382,1
"23",-73.125226,-37.813048,1
"24",-74.158559,-42.871382,1
"25",-74.050226,-42.104715,1
"26",-73.466892,-39.979715,1
"27",-74.116892,-43.346382,1
"28",-74.008559,-43.138048,1
"29",-73.500226,-42.013048,1
"30",-73.225226,-37.654715,1
"31",-72.916892,-37.721382,1
"32",-73.208559,-37.646382,1
"33",-73.016892,-37.813048,1
"34",-72.983559,-37.821382,1
"35",-73.125226,-37.671382,1
"36",-74.116892,-43.146382,1
"37",-74.050226,-42.146382,1
"38",-73.958559,-43.121382,1
"39",-74.150226,-42.829715,1
"40",-73.175226,-37.696382,1
"41",-73.150226,-37.779715,1
"42",-73.483559,-43.113048,1
"43",-72.966892,-37.813048,1
"44",-74.200226,-43.146382,1
"45",-73.566892,-41.838048,1
"46",-73.783559,-43.013048,1
"47",-74.283559,-43.146382,1
"48",-74.275226,-43.146382,1
"49",-74.008559,-43.129715,1
"50",-72.858559,-37.771382,1
"51",-74.083559,-42.596382,1
"52",-74.008559,-42.646382,1
"53",-73.825226,-41.954715,1
"54",-74.066892,-42.154715,1
"55",-73.300226,-39.696382,1
"56",-74.116892,-42.688048,1
"57",-73.975226,-42.746382,1
"58",-73.000226,-37.746382,1
"59",-74.266892,-43.146382,1
"60",-73.200226,-37.621382,1
"61",-74.000226,-41.996382,1
"62",-74.058559,-42.154715,1
"63",-74.033559,-42.113048,1
"64",-73.016892,-37.829715,1
"65",-73.200226,-37.646382,1
"66",-73.216892,-39.346382,1
"67",-74.041892,-42.113048,1
"68",-74.075226,-42.563048,1
"69",-74.083559,-42.588048,1
"70",-73.116892,-37.704715,1
"71",-73.150226,-37.771382,1
"72",-73.200226,-37.554715,1
"73",-73.216892,-37.646382,1
"74",-73.750226,-43.329715,1
"75",-72.100225,-39.179715,1
"76",-73.033559,-37.821382,1
"77",-74.083559,-42.579715,1
"78",-73.108559,-37.738048,1
"79",-73.000226,-37.829715,1
"80",-73.783559,-43.021382,1
"81",-73.766892,-42.063048,1
"82",-73.025226,-37.796382,1
"83",-73.125226,-37.679715,1
"84",-74.125226,-43.146382,1
"85",-74.125226,-42.713048,1
"86",-74.033559,-42.088048,1
"87",-73.133559,-37.663048,1
"88",-72.841892,-40.879715,1
"89",-73.791892,-43.021382,1
"90",-74.108559,-42.688048,1
"91",-72.783559,-39.196382,1
"92",-73.175226,-37.679715,1
"93",-73.141892,-37.663048,1
"94",-72.733559,-37.246382,1
"95",-73.791892,-43.013048,1
"96",-73.900226,-42.396382,1
"97",-74.150226,-43.313048,1
"98",-73.600226,-41.996382,1
"99",-73.950226,-43.113048,1
"100",-74.066892,-42.546382,1
"101",-73.033559,-37.813048,1
"102",-74.016892,-42.063048,1
"103",-73.175226,-37.688048,1
"104",-74.041892,-42.104715,1
"105",-74.141892,-42.721382,1
"106",-73.041892,-37.821382,1
"107",-73.166892,-37.696382,1
"108",-72.983559,-37.888048,1
"109",-73.008559,-37.821382,1
"110",-74.075226,-42.571382,1
