"","X_WGS84","Y_WGS84","noname"
"1",-74.125226,-42.713048,1
"2",-74.058559,-42.154715,1
"3",-72.966892,-37.829715,1
"4",-73.033559,-37.813048,1
"5",-74.075226,-42.563048,1
"6",-74.108559,-42.688048,1
"7",-73.166892,-37.696382,1
"8",-74.116892,-43.346382,1
"9",-73.766892,-42.063048,1
"10",-72.983559,-37.888048,1
"11",-73.175226,-37.688048,1
"12",-74.041892,-42.096382,1
"13",-73.116892,-37.846382,1
"14",-73.225226,-37.654715,1
"15",-73.941892,-43.121382,1
"16",-73.125226,-37.671382,1
"17",-73.025226,-37.796382,1
"18",-73.991892,-43.129715,1
"19",-73.125226,-37.679715,1
"20",-73.500226,-42.013048,1
"21",-74.141892,-42.721382,1
"22",-73.783559,-43.013048,1
"23",-72.983559,-37.821382,1
"24",-74.008559,-43.138048,1
"25",-72.908559,-37.696382,1
"26",-74.008559,-43.129715,1
"27",-73.566892,-41.838048,1
"28",-74.158559,-42.871382,1
"29",-73.150226,-37.771382,1
"30",-74.033559,-42.113048,1
"31",-74.050226,-42.146382,1
"32",-73.116892,-37.704715,1
"33",-74.283559,-43.146382,1
"34",-72.858559,-37.771382,1
"35",-74.041892,-42.104715,1
"36",-73.900226,-42.396382,1
"37",-73.016892,-37.829715,1
"38",-73.600226,-41.996382,1
"39",-73.825226,-41.954715,1
"40",-74.266892,-43.146382,1
"41",-73.175226,-37.696382,1
"42",-72.966892,-37.813048,1
"43",-73.016892,-37.813048,1
"44",-74.116892,-43.146382,1
"45",-73.000226,-37.829715,1
"46",-74.291892,-43.146382,1
"47",-74.033559,-42.088048,1
"48",-73.125226,-37.813048,1
"49",-74.008559,-42.646382,1
"50",-73.150226,-37.688048,1
"51",-73.483559,-43.113048,1
"52",-73.975226,-42.746382,1
"53",-74.083559,-42.588048,1
"54",-73.183559,-37.621382,1
"55",-73.133559,-37.663048,1
"56",-73.733559,-43.054715,1
"57",-72.950225,-37.738048,1
"58",-74.050226,-42.104715,1
"59",-73.750226,-43.329715,1
"60",-73.150226,-37.779715,1
"61",-74.116892,-42.688048,1
"62",-73.008559,-37.821382,1
"63",-73.150226,-37.663048,1
"64",-74.083559,-42.596382,1
"65",-73.108559,-37.738048,1
"66",-72.916892,-37.721382,1
"67",-73.200226,-37.621382,1
"68",-73.175226,-37.679715,1
"69",-73.200226,-37.554715,1
"70",-73.000226,-37.821382,1
"71",-74.200226,-43.146382,1
"72",-74.150226,-42.829715,1
"73",-72.733559,-37.246382,1
"74",-73.983559,-43.121382,1
"75",-73.791892,-43.021382,1
"76",-73.033559,-37.821382,1
"77",-74.083559,-42.579715,1
"78",-74.016892,-43.138048,1
"79",-73.958559,-43.121382,1
"80",-74.000226,-41.996382,1
"81",-73.200226,-37.646382,1
"82",-73.208559,-37.646382,1
"83",-73.141892,-37.663048,1
"84",-74.150226,-43.313048,1
"85",-73.950226,-43.121382,1
"86",-73.041892,-37.821382,1
"87",-73.791892,-43.013048,1
"88",-73.000226,-37.746382,1
"89",-73.783559,-43.021382,1
"90",-73.950226,-43.113048,1
"91",-74.016892,-42.063048,1
"92",-74.075226,-42.571382,1
"93",-74.125226,-43.146382,1
"94",-73.216892,-37.646382,1
"95",-74.066892,-42.154715,1
"96",-74.058559,-42.146382,1
"97",-73.958559,-42.746382,1
"98",-74.066892,-42.546382,1
"99",-73.191892,-37.621382,1
"100",-74.275226,-43.146382,1
"101",-74.033559,-42.079715,1
"102",-74.041892,-42.113048,1
"103",-74.075226,-42.554715,1
