#id	label	long	lat	abundance
1	noname.1	-73.900226	-42.396382	1
2	noname.1	-73.041892	-37.821382	1
3	noname.1	-73.825226	-41.954715	1
4	noname.1	-73.133559	-37.663048	1
5	noname.1	-74.275226	-43.146382	1
6	noname.1	-74.058559	-42.146382	1
7	noname.1	-74.108559	-42.688048	1
8	noname.1	-73.983559	-43.121382	1
9	noname.1	-74.041892	-42.104715	1
10	noname.1	-72.966892	-37.813048	1
11	noname.1	-73.200226	-37.554715	1
12	noname.1	-72.966892	-37.829715	1
13	noname.1	-74.291892	-43.146382	1
14	noname.1	-73.941892	-43.121382	1
15	noname.1	-73.183559	-37.621382	1
16	noname.1	-74.075226	-42.554715	1
17	noname.1	-74.016892	-42.063048	1
18	noname.1	-73.000226	-37.746382	1
19	noname.1	-74.158559	-42.871382	1
20	noname.1	-73.975226	-42.746382	1
21	noname.1	-72.950225	-37.738048	1
22	noname.1	-73.125226	-37.679715	1
23	noname.1	-74.008559	-42.646382	1
24	noname.1	-74.041892	-42.096382	1
25	noname.1	-73.175226	-37.679715	1
26	noname.1	-74.066892	-42.154715	1
27	noname.1	-73.191892	-37.621382	1
28	noname.1	-74.141892	-42.721382	1
29	noname.1	-73.733559	-43.054715	1
30	noname.1	-73.600226	-41.996382	1
31	noname.1	-74.050226	-42.146382	1
32	noname.1	-73.025226	-37.796382	1
33	noname.1	-73.958559	-42.746382	1
34	noname.1	-74.125226	-43.146382	1
35	noname.1	-73.200226	-37.646382	1
36	noname.1	-74.008559	-43.138048	1
37	noname.1	-73.150226	-37.771382	1
38	noname.1	-74.075226	-42.563048	1
39	noname.1	-73.175226	-37.688048	1
40	noname.1	-74.125226	-42.713048	1
41	noname.1	-74.033559	-42.088048	1
42	noname.1	-74.083559	-42.579715	1
43	noname.1	-73.783559	-43.013048	1
44	noname.1	-74.033559	-42.113048	1
45	noname.1	-73.766892	-42.063048	1
46	noname.1	-74.050226	-42.104715	1
47	noname.1	-73.500226	-42.013048	1
48	noname.1	-73.791892	-43.013048	1
49	noname.1	-73.950226	-43.121382	1
50	noname.1	-73.208559	-37.646382	1
51	noname.1	-73.016892	-37.813048	1
52	noname.1	-74.083559	-42.588048	1
53	noname.1	-73.175226	-37.696382	1
54	noname.1	-72.983559	-37.888048	1
55	noname.1	-73.225226	-37.654715	1
56	noname.1	-73.150226	-37.779715	1
57	noname.1	-74.000226	-41.996382	1
58	noname.1	-73.000226	-37.829715	1
59	noname.1	-74.016892	-43.138048	1
60	noname.1	-73.783559	-43.021382	1
61	noname.1	-72.100225	-39.179715	1
62	noname.1	-73.033559	-37.813048	1
63	noname.1	-74.116892	-43.146382	1
64	noname.1	-73.033559	-37.821382	1
65	noname.1	-72.916892	-37.721382	1
66	noname.1	-73.991892	-43.129715	1
67	noname.1	-74.116892	-42.688048	1
68	noname.1	-74.033559	-42.079715	1
69	noname.1	-73.150226	-37.688048	1
70	noname.1	-74.008559	-43.129715	1
71	noname.1	-73.791892	-43.021382	1
72	noname.1	-74.266892	-43.146382	1
73	noname.1	-73.483559	-43.113048	1
74	noname.1	-74.283559	-43.146382	1
75	noname.1	-72.733559	-37.246382	1
76	noname.1	-73.125226	-37.671382	1
77	noname.1	-73.016892	-37.829715	1
78	noname.1	-73.150226	-37.663048	1
79	noname.1	-72.783559	-39.196382	1
80	noname.1	-73.116892	-37.846382	1
81	noname.1	-74.066892	-42.546382	1
82	noname.1	-73.300226	-39.696382	1
83	noname.1	-72.858559	-37.771382	1
84	noname.1	-73.216892	-39.346382	1
85	noname.1	-74.200226	-43.146382	1
86	noname.1	-74.150226	-43.313048	1
87	noname.1	-73.141892	-37.663048	1
88	noname.1	-73.750226	-43.329715	1
89	noname.1	-74.083559	-42.596382	1
90	noname.1	-73.008559	-37.821382	1
91	noname.1	-74.041892	-42.113048	1
92	noname.1	-72.908559	-37.696382	1
93	noname.1	-73.583559	-40.029715	1
94	noname.1	-74.058559	-42.154715	1
95	noname.1	-73.108559	-37.738048	1
96	noname.1	-73.216892	-37.646382	1
97	noname.1	-73.958559	-43.121382	1
98	noname.1	-73.166892	-37.696382	1
99	noname.1	-73.125226	-37.813048	1
100	noname.1	-73.000226	-37.821382	1
101	noname.1	-73.466892	-39.979715	1
102	noname.1	-73.950226	-43.113048	1
103	noname.1	-73.566892	-41.838048	1
104	noname.1	-73.116892	-37.704715	1
105	noname.1	-73.200226	-37.621382	1
106	noname.1	-72.983559	-37.821382	1
107	noname.1	-72.841892	-40.879715	1
108	noname.1	-74.150226	-42.829715	1
109	noname.1	-74.116892	-43.346382	1
110	noname.1	-74.075226	-42.571382	1
